,Season,Episode,Scene,Scene_Start,Scene_End,Speaking_Chararacters,Appearing_Characters,Scene_Tiitles,Specific_Stories,Scene_Texts,Scene_Keybords,Scene_Entities,MRS,Scene_Links,Scene_on_Video,Scene_Topics
72,1,3,72,1638.28,1733.24,"catelyn_stark,eddard_stark","eddard_stark,jory_cassel,catelyn_stark,rodrik_cassel",Ned Stark as King's Hand-Littlefinger fetches Eddard to meet his wife ,Catelyn Stark- Catelyn Leaves King's landing,"I wish I could see the girls. It too dangerous. Just for a moment. Until we know who our enemies are... I know they did it, Ned. The Lannisters. In my bones, I know it. Littlefinger right. I ca not do anything without proof. And if you find the proof? Then I bring it to Robert... And hope he still the man I once knew. You watch yourself on the road, huh? That temper of yours is a dangerous thing. My temper? Gods be good, you nearly killed poor Littlefinger yesterday. He still loves you. Does he? Off with you.",temper near proof know still right danger see,['petry_baelysh'],0,1E03S15,17,[0]
73,1,3,73,1733.24,1994.24,"lancel_lannister,barristan_selmy,jaime_lannister,robert_baratheon","lancel_lannister,barristan_selmy,robert_baratheon,jaime_lannister","Robert Barathaon as a King, Ned Stark as King's Hand",Robert Barathaon as a King- Jaime killed the mad king,"It been a long time. But I still remember every face. You remember your first? Of course, your Grace. Who was it? A Tyroshi. Never learned the name. How would you do it? Lance through the heart. Quick one. Lucky for you. Mine was some Tarly boy at the Battle of Summerhall. My horse took an arrow so I was on foot, slogging through the mud. He came running at me, this dumb high-born lad, thinking he could end the rebellion with the single swing of his sword. I knocked him down with the hammer. Gods, I was strong then. Caved in his breastplate. Probably shattered every rib he had. Stood over him, hammer in the air. Right before I brought it down he shouted, "" Wait! Wait! ""... They never tell you how they all shit themselves. They do not put that part in the songs. Stupid boy. Now the Tarlys bend the knee like everyone else. He could have lingered on the edge of the battle with the smart boys and today his wife would be making him miserable, his sons would be ingrates, and he would be waking three times in the night to piss into a bowl. Wine! Lancel. Gods, what a stupid name. Lancel Lannister. Who named you? Some halfwit with a stutter? What are you doing? It empty, your Grace. What do you mean it empty? There no more wine. Is that what empty means?! So get more. Tell your cousin to get in here. Kingslayer! Get in here. Surrounded by Lannisters. Every time I close my eyes I see their blond hair and their smug, satisfied faces. It must wound your pride, huh? Standing out there like a glorified sentry. Jaime Lannister, son of the mighty Tywin... Forced to mind the door while your King eats and drinks and shits and fucks. So come on. We are telling war stories. Who was your first kill, not counting old men? One of the outlaws in the Brotherhood. I was there that day. You were only a squire, 16 years old. You killed Simon Toyne with a counter riposte. Best move I ever saw. A good fighter, Toyne, but he lacked stamina. Your outlaw... Any last words? I cut his head off, so no. What about Aerys Targaryen? What did the Mad King say when you stabbed him in the back? I never asked. Did he call you a traitor? Did he plead for a reprieve? He said the same thing he would been saying for hours... "" Burn them all. "" If that all, your Grace",face would empti hammer name toyne everi outlaw lancel grace,"['house_targaryen', 'lannister_captain', 'alys_karstark', 'lancel_lannister', 'house_lannister', 'lancel_lannister', 'son_of_the_harpy', 'aerys_targaryen', 'tyene_sand', 'jaime_lannister', 'tarly', 'summerhall of battle', 'tarly', 'battle of summerhall', 'tarly', 'battle of summerhall']",0,1E01S42,18,[19]
74,1,3,74,1994.24,2203.52,"irri,viserys_targaryen,daenerys_targaryen,jorah_mormont","rakharo,viserys_targaryen,daenerys_targaryen,irri,jorah_mormont,khal_drogo","Daenerys Targaryen's claim to the throne , Khal Drogo's Journey",Daenerys Targaryen- Daenerys as wife of Khal Drogo,"Do the Dothrakis buy their slaves? The Dothraki do not believe in money. Most of their slaves were given to them as gifts. From whom? If you rule a city and you see the horde approaching, you have two choices pay tribute or fight. An easy choice for most. Of course, sometimes it not enough. Sometimes a Khal feels insulted by the number of slaves he given. He might think the men too weak or the women too ugly. Sometimes a Khal decides his riders have not had a good fight in months and need the practice. Tell them all to stop. You want the entire horde to stop? For how long? Until I command them otherwise. You are learning to talk like a Queen. Not a Queen. A Khaleesi. You dare! You give commands to me? To me? You do not command the dragon. I am Lord of the Seven Kingdoms. I do not take orders from savages or their sluts. Do you hear me? Rakharo ask if you want him dead, Khaleesi. No! Rakharo say you should take ear, to teach respect. Please please, do not hurt him. Tell him I do not want my brother harmed. Kill these Dothraki dogs! I am your King! Shall we return to the Khalasar, Khaleesi? You walk.",horde slave choice rakharo sometim khaleesi given command dothraki,"['rakharo', 'dothrakis', 'dothraki', 'khaleesi khalasar', 'dothrakis', 'dothraki', 'khalasar khaleesi', 'dothrakis', 'dothraki', 'khalasar khaleesi']",0,1E02S23,19,[8]
75,1,3,75,2318.12,2410,"jon_snow,benjen_stark","benjen_stark,jon_snow","Jon Snow as Lord Commander, Night's watch mission",Jon Snow -Jon as night's watch-Jon as steward,"I wanted to be here. when you saw it for the first time. I am leaving this morning. You are leaving? I am the First Ranger. My job is out there. There have been disturbing reports. What kind of reports? The kind I do not want to believe. am ready. I will not let you down. You are not going. You are no ranger, Jon. But I am better than every... Better than no one! Here... A man gets what he earns, when he earns it. We will speak when I return.",report earn leav kind ranger,[],0,1E03S20,21,[17]
76,1,3,76,2410,2633.96,"tyrion_lannister,yoren,benjen_stark","yoren,benjen_stark,tyrion_lannister",Tyrion Lannister's Journey-Tyrion Lannister asnight watch,Tyrion Lannister- Tyrion as night's watch,"bear balls. You are joking? And his brains and his guts, his lungs and his heart all fried in his own fat. When you are a hundred miles north of the Wall and you ate your last meal a week ago, you leave nothing for the wolves. And how do a bear balls taste? A bit chewy. And what about you, my Lord? What the strangest thing you have eaten? Do Dornish girls count? So you roam the Seven Kingdoms, collaring pickpockets and horse thieves and bringing them here as eager recruits? But it not all of 'em done bad things. Some of 'em just poor lads looking for steady feed. Some of 'em high-born lads looking for glory. They have a better chance finding feed than glory. The Night Watch is a joke to you, is it? Is that what we are, Lannister? An army of jesters in black? You do not have enough men to be an army and aside from Yoren here, none of you are particularly funny. I hope we have provided you with some good stories to tell when you are back in King Landing. But something to think about while you are drinking your wine down there, enjoying your brothels... Half the boys you have seen training will die north of the Wall. Might be a wilding axe that gets them, might be sickness, might just be the cold. They die in pain. And they do it so plump little lords like you can enjoy their summer afternoons in peace and comfort. Do you think I am plump? Listen, Benjen... May I call you Benjen? Call me what you like. I am not sure what I have done to offend you. I have great admiration for the Night Watch. I have great admiration for you as First Ranger. You know, my brother once told me that nothing someone says before the word "" but "" really counts. But... I do not believe that giants and ghouls and The White Walkers are lurking beyond the Wall. I believe that the only difference between us and the wildlings is that when the Wall went up, our ancestors happened to live on the right side of it. You are right. The wildlings are no different from us. A little rougher maybe. But they are made of meat and bone. I know how to track them and I know how to kill them. It not the wildlings giving me sleepless nights. You have never been north of the Wall, so do not tell me what out there. Are you going below? Keep well, keep warm. Enjoy the capital, brother. I always do. I think he starting to like me. "" Going below ""? Into the tunnel and out the other side. He will be north of the Wall for a month or two. So you are heading down to King Landing too. Day after tomorrow. I get about half of my recruits from their dungeons. Let share the road. I could use some decent company. I travel a bit on the grubby side, my Lord. Not this time. We will be staying at the finest castles and inns. No one turns away a Lannister.",wall em great lad wildl north bear enjoy plump,"['house_lannister', 'benjen_stark', 'yoren', 'wall', 'kingdoms seven', 'night watch', 'white walkers', 'wall', 'wall', 'wall', 'wall', 'lannister', 'wall', 'seven kingdoms', 'night watch', 'white walkers', 'wall', 'wall', 'wall', 'wall', 'lannister', 'wall', 'seven kingdoms', 'night watch', 'white walkers', 'wall', 'wall', 'wall', 'wall', 'lannister']",0,1E03S21,22,[1]
77,1,3,77,2633.96,2670.28,"irri,daenerys_targaryen","irri,daenerys_targaryen",Daenerys Targaryen's claim to the throne-Daenerys Targaryen is pregnant,Daenerys Targaryen- Daenerys is pregnant,"Yes, Khaleesi. What are you doing? When was last time you bleed, Khaleesi? You change, Khaleesi. It a blessing from the Great Stallion.",great change last stallion khaleesi yes bleed bless,"['khaleesi_handmaiden_1', 'great stallion', 'great stallion', 'great stallion']",0,1E03S19,23,[10]
78,1,3,78,2670.28,2799.32,"jorah_mormont,irri,rakharo","irri,jorah_mormont,rakharo",Daenerys Targaryen's claim to the throne-Daenerys Targaryen is pregnant,Daenerys Targaryen- Daenerys is pregnant,"For a man on horseback, the curved blade is a good thing, easier to handle. It a good weapon for a Dothrakan. But a man in full plate... the arakh will not get through the steel. That where the broadsword has the advantage. Designed for piercing plate. Dothraki do not wear steel dresses. Armor. Armor. Armor make a man... Vroz? Slow. Slow. It true, but it also keeps a man alive. My father taught me how to fight. He taught me that speed defeats size. I have heard that your father was a famous warrior. He was bloodrider to Khal Bharbo. And your father, Jorah the Andal? He was a warrior also? He still is. A man of great honor. And I betrayed him. The Khaleesi wants to eat something different tonight. Kill some rabbits. There are no rabbits. Find some ducks, she likes ducks. Have you seen any ducks, woman? No rabbits, no ducks. Do you have eyes in your head? Do you? Dog then. I have seen many dogs. I do not think she wants to eat dog. The Khaleesi have baby inside her. It is true. She does not bleed for two moons. Her belly start to swell. A blessing from the Great Stallion. She does not want to eat horse. I will have the boys butcher a goat for supper. I need to ride to Qohor. We ride for Vaes Dothrak. Do not worry. I will catch you. The horde is easy to find.",armor plate eat want slow taught dog duck rabbit,"['jorah_mormont', 'vala', 'bharbo', 'ros', 'dothrakan', 'dothraki', 'armor', 'andal', 'khaleesi', 'khaleesi', 'great stallion', 'qohor', 'dothrakan', 'dothraki', 'armor armor armor', 'andal', 'khaleesi', 'khaleesi', 'great stallion', 'qohor', 'dothrakan', 'dothraki', 'armor armor armor', 'andal', 'khaleesi', 'khaleesi', 'great stallion', 'qohor']",1,1E03S23,24,[10]
79,1,3,79,2799.32,2827.56,jon_snow,"pypar,jon_snow,jeor_mormont,maester_aemon,grenn,rast,tyrion_lannister","Jon Snow as Lord Commander, Night's watch mission ",Jon Snow -Jon as night's watch-Jon fights,Do not stand so still. It harder to hit a moving target. Except for you. You move too much. I could just hold my sword out and let you do the work for me.,work hold hit except sword target much could harder move,[],0,1E03S21,25,[19]
80,1,3,80,2827.56,2917.6,"maester_aemon,tyrion_lannister,jeor_mormont","maester_aemon,tyrion_lannister,jeor_mormont",Night's watch mission ,Tyrion Lannister- Tyrion as night's watch,"How many winters have you seen, Lord Tyrion? Eight... no, nine. All of them brief? They say the winter of my birth was three years long, Maester Aemon. This summer has lasted nine. But reports from the Citadel tell us the days grow shorter. The Starks are always right eventually winter is coming. This one will be long and dark things will come with it. We have been capturing wildlings, more every month. They are fleeing south. The ones who flee... say they have seen the The White Walkers. Yes, and the fishermen of Lannisport say they see mermaids. One of our own rangers swore he saw them kill his companions. He swore it right up to the moment Ned Stark chopped his head off. The Night Watch is the only thing standing between the realm and what lies beyond. And it has become an army of undisciplined boys and tired old men. There are less than a thousand of us now. We ca not man the other castles on the Wall. We ca not properly patrol the wilderness. We have barely enough resources to keep our lads armed and fed. Your sister sits by the side of the King. Tell her we need help. When winter does come, gods help us all if we are not ready.",say nine seen swore winter right flee,"['eddard_stark, 'stark_guard', 'aemon maester', 'citadel', 'white walkers', 'lannisport', 'night watch', 'wall', 'maester aemon', 'citadel', 'white walkers', 'lannisport', 'night watch', 'wall', 'maester aemon', 'citadel', 'white walkers', 'lannisport', 'night watch', 'wall']",0,"1E03S25,1E03S22",26,[6]
81,1,3,81,2917.6,2963.84,"khal_drogo,daenerys_targaryen","khal_drogo,daenerys_targaryen,rhaegal,viserion",Daenerys Targaryen's claim to the throne-Daenerys Targaryen is pregnant,Daenerys Targaryen- Daenerys is pregnant,It a boy. How do you know? I know.,boy know,[],0,1E03S24,27,[15]
82,1,3,82,2963.84,3023.4,"tyrion_lannister,jon_snow","jon_snow,tyrion_lannister,drogon","Jon Snow as Lord Commander, Bran Stark's Journey-Bran stark opens his eyes",Tyrion Lannister- Tyrion as night's watch-Tyrion leaving to the wall,"I am sorry to see you leave, Lannister. It either me or this cold. And it does not appear to be going anywhere. Will you stop at Winterfell on your way South? I expect I will. Gods know there are not many feather beds between here and King Landing. If you see my brother Bran, tell him I miss him. Tell him I would visit if I could. Of course. He will never walk again. If you are going to be a cripple, it better to be a rich cripple. Take care, Snow. Farewell, My Lord.",go never brother cripple know bed rich see tell,"['house_lannister', 'bran_stark', 'winterfell', 'winterfell', 'winterfell']",0,1E03S26,28,[7]
83,1,3,83,3023.4,3226.76,"arya_stark,syrio_forel","arya_stark,syrio_forel",Arya Stark's Journey-Arya Stark training,Arya Stark- Arya's training,"You are late, boy. Tomorrow you will be here at midday. Who are you? Your dancing master, Syrio Forel. Tomorrow you will catch it. Now pick it up. That is not the way, boy. This is not a great sword that is needing two hands to swing it. It too heavy. It is heavy as it needs to be to make you strong. Just so. One hand is all that is needed. Now you are standing all wrong. Turn your body side-face. So. You are skinny. That is good. The target is smaller. Now the grip... Let me see. The grip must be delicate. What if I drop it? The steel must be part of your arm. Can you drop part of your arm? No. Nine years Syrio Forel was first sword to the Sealord of Braavos. He knows these things. You must listen to me, boy. I am a girl. Boy, girl... You are a sword, that is all. That is the grip. You are not holding a battle-axe. You are holding... A needle. Ahhh... Just so. Now we will begin the dance. Remember, child, this is not the dance of the Westeros we are learning... The knight dance, hacking and hammering. This is the Bravo dance... The water dance. It is swift and sudden. All men are made of water, do you know this? If you pierce them, the water leaks out and they die. Now you will try to strike me. Up! Dead. Dead. Very dead. Come. Again, faster.",forel dead syrio grip part boy dance heavi water,"['yoren', 'braavos of sealord', 'westeros', 'sealord of braavos', 'westeros', 'sealord of braavos', 'westeros']",0,1E03S7,29,[19]
84,1,4,84,151.2,202.6,"bran_stark,theon_greyjoy","bran_stark,summer,old_nan,theon_greyjoy,hodor",Bran Stark's Journey-Bran Stark falls,Bran Stark- Bran angry about his legs,"The little Lord been dreaming again. We have visitors. I do not want to see anyone. Really? If I was cooped up all day with no one but this old bat for company, I would go mad. Anyway, you do not have a choice. Robb waiting. I do not want to go. Neither do I. But Robb Lord of Winterfell, which means I do what he says and you do what I say. Hodor! Help Bran down the hall.",day say hall would want mean robb bat see,"['robb_stark', 'winterfell', 'winterfell', 'winterfell']",0,1E04S1,3,[16]
85,1,4,85,202.6,301.16,"tyrion_lannister,robb_stark,bran_stark,maester_luwin","bran_stark,theon_greyjoy,maester_luwin,tyrion_lannister,grey_wind,yoren,robb_stark,hodor","Bran Stark's Journey-Bran Stark Assasination, Bran Stark's Journey-Tyrion lannister comes to visit Bran Stark ","Tyrion Lannister-Tyrion as night's watch-Tyrion gift to Bran, Bran Stark-Bran wants to ride","I must say I received a slightly warmer welcome on my last visit. Any man of the Night Watch is welcome at Winterfell. Any man of the Night Watch, but not I, eh, boy? I am not your boy, Lannister. I am Lord of Winterfell while my father is away. Then you might learn a lord courtesy. So it true. Hello Bran. Do you remember anything about what happened? He has no memory of that day. Curious. Why are you here? Would your charming companion be so kind as to kneel? My neck is beginning to hurt. Kneel, Hodor. Do you like to ride, Bran? Yes. Well, I mean I did like to. The boy has lost the use of his legs. What of it? With the right horse and saddle, even a cripple can ride. I am not a cripple. Then I am not a dwarf. My father will rejoice to hear it. I have a gift for you. Give that to your saddler. He will provide the rest. You must shape the horse to the rider. Start with a yearling and teach it to respond to the reins and to the boy voice. Will I really be able to ride? You will. On horseback you will be as tall as any of them. Is this some kind of trick? Why do you want to help him? I have a tender spot in my heart for cripples, bastards and broken things. You have done my brother a kindness. The hospitality of Winterfell is yours. Spare me your false courtesies, Lord Stark. There a brothel outside your walls. There I will find a bed and both of us can sleep easier.",welcome cripple ride boy man bran kind kneel courtesi,"['house_lannister', 'hodor', 'night watch', 'winterfell', 'winterfell', 'winterfell', 'night watch', 'winterfell', 'winterfell', 'winterfell', 'night watch', 'winterfell', 'winterfell', 'winterfell']",0,1E04S2,4,[2]
86,1,4,86,301.16,384.96,"tyrion_lannister,theon_greyjoy","theon_greyjoy,tyrion_lannister","Bran Stark's Journey-Bran Stark Assasination,Theon Greyjoy's journey",Tyrion Lannister-Tyrion as night's watch-Tyrion talked to Theon,"Could not resist some northern ass? If you like redheads, ask for Ros. Come to see me off, Greyjoy? Kind of you. Your master does not seem to like Lannisters. He not my master. No, of course not. What happened here? Where is lady Stark? Why did not she receive me? She was not feeling well. She not in Winterfell, is she? Where did she go? My lady whereabouts... My lady? Your loyalty to your captors is touching. Tell me, how do you think Balon Greyjoy would feel if he could see his only surviving son has turned lackey? I still remember seeing my father fleet burn in Lannisport. I believe your uncles were responsible? Must have been a pretty sight. Nothing prettier than watching sailors burn alive. Yes, a great victory for your people. Shame how it all turned out. We were outnumbered 10 to one. A stupid rebellion then. I suppose your father realized that when your brothers died in battle. Now here you are, your enemy squire. Careful, Imp. I have offended you. Forgive me, it been a rough morning. Anyway, do not despair. I am a constant disappointment to my own father and I have learned to live with it. Your next tumble with Ros is on me. I will try not to wear her out.",ladi greyjoy responsible turn resist burn feel master rememb,"['house_stark', 'ros', 'balon_greyjoy', 'winterfell', 'lannisport', 'winterfell', 'lannisport', 'winterfell', 'lannisport']",0,1E04S3,5,[18]
87,1,4,87,384.96,586.76,"jon_snow,alliser_thorne,grenn,rast,pypar,samwell_tarly","samwell_tarly,alliser_thorne,jon_snow,pypar,grenn,rast","Jon Snow as Lord Commander-Jon Snow and Samwell Tarly friendship,Samwell Tarly's Life-Jon Snow and Samwell Tarly friendship",Jon Snow -Jon as night's watch-Jon fights-Jon and Samwell friendship,"Leg, shoulder, leg. Left foot forward. Good. Now pivot as you deliver the stroke. Put all your weight behind it. What in seven hells is that? They will need an eighth hell to fit him in. Tell them your name. Samwell Tarly, of Horn Hill. I mean, I was of Horn Hill. I have come to take the black. Come to take the black pudding. Well, you could not be any worse than you look. See what he can do. I yield. Please, no more. On your feet. Pick up your sword. Hit him till he finds his feet. It seems they have run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder. Enough! He yielded. Looks like the bastard in love. All right then, lord Snow, you wish to defend your lady love, let make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you have got to do is get past the bastard. Are you sure you want to do this? No. Yield yield yield! I yield. We are done for today. Go clean the armory. That all you are good for. Well fought! Piss off. Did he hurt you? I have had worse. You can call me Sam... If you want. My mother calls me Sam. It not going to get any easier, you know? You will have to defend yourself. Why did not you get up and fight? I wanted to. I just could not. Why not? I am a coward. My father always says so. The Wall no place for cowards. You are right. I am sorry. I just... Wanted to thank you. A bloody coward. People saw us talking to him. Now they will think we are cowards too. You are too stupid to be a coward. You are too stupid to be a... Quick now, before summer over. Come on here!",yield coward call foot horn come squeal,"['jon_snow', 'samwell_tarly', 'horn hill', 'horn hill', 'horn hill', 'horn hill', 'horn hill', 'horn hill']",0,1E03S21,6,[1]
88,1,4,88,586.76,707.76,"viserys_targaryen,daenerys_targaryen,jorah_mormont","viserys_targaryen,daenerys_targaryen,jorah_mormont,khal_drogo",Daenerys Targaryen's claim to the throne ,Daenerys Targaryen- Daenerys knows about Jorah,"Vaes Dothrak. The city of the horselords. A pile of mud. Mud and shit and twigs - best these savages can do. These are my people now. You should not call them savages. I will call them what I like, because they are my people. This is my army. Khal Drogo is marching the wrong way with my army. If my brother was given an army of Dothraki, could you conquer the Seven Kingdoms? The Dothraki have never crossed the Narrow Sea. They fear any water their horses ca not drink. But if they did? King Robert is fool enough to meet them in open battle, but the men advising him are different. And you know these men? I fought beside them once, long ago. Now Ned Stark wants my head. He drove me from my land. You sold slaves. Aye. Why? I had no money and an expensive wife. And where is she now? In another place, with another man.",anoth mud men armi meet dothraki savage,"['khal_drogo', 'aya', 'eddard_stark, 'robert_baratheon', 'vala', 'dothraki', 'kingdoms seven', 'dothraki', 'sea narrow', 'dothraki', 'seven kingdoms', 'dothraki', 'narrow sea', 'dothraki', 'seven kingdoms', 'dothraki', 'narrow sea']",0,1E03S27,7,[4]
89,1,4,89,707.76,988.08,"viserys_targaryen,doreah","doreah,viserys_targaryen","Daenerys Targaryen's claim to the throne-Odds between Daenerys Targaryen and Visery Targaryen, Visery Targaryen's claim to the throne-Odds between Daenerys Targaryen and Visery Targaryen",Visery Targaryen's claim to the throne-Visery knows nothing about dragons,"Your Grace? Yes, my dear? They call you the last dragon... They do. You have dragon blood in your veins? It entirely possible. What happened to the dragons? I was told that brave men killed them all. The brave men did not kill dragons. The brave men rode them. Rode them from Valyria to build the greatest civilization this world has ever seen. The breath of the greatest dragon forged the Iron Throne, which the Usurper is keeping warm for me. The swords of the vanquished, a thousand of them... melted together like so many candles. I have always wanted to see a dragon. There is nothing in the world that I would rather see. Really? Why dragons? They can fly. And wherever they are, just a few flaps of their wings and they are somewhere else... Far away. And they can kill. Anyone or anything that tries to hurt them gets burned away to nothing... melted... like so many candles. Seeing a dragon would make me very happy. Well, after 15 years in a pleasure house, I imagine just seeing the sky makes you happy. I was not locked in. I have seen things. What have you seen? I have seen... A man from Asshai with a dagger of real dragonglass. I have seen a man who could change his face the way that other men change their clothes. And I have seen a pirate who wore his weight in gold and whose ship had sails of colored silk. So... Have you seen one? A pirate ship? A dragon. No, the last one died many years before I was born. I will tell you what I have seen their skulls. They used to decorate the throne room in the Red Keep. When I was very young, just 3 or 4, my father used to walk me down the rows and I would recite their names for him. When I got them all right, he would give me a sweet. The ones closest to the door were the last ones they were able to hatch and they were all stunted and wrong. Skulls no bigger than dog skulls. But as you got closer to the Iron Throne... They got bigger and bigger and bigger. There was Ghiscar and Valryon, Vermithrax, Essovius, Archonel, Meraxes, Vhagar... And Balerion the Dread... whose fire forged the Seven Kingdoms into one. What happened to the skulls? I do not know. The Usurper had them smashed to powder, I expect. Scattered to the wind. That very sad. Yes, it is. What did I buy you for? To make me sad? No, your Grace. To teach your sister. To teach my sister how to be a better lover? You think I bought you to make Khal Drogo happy? You pretty little idiot. Go on then. Get on with it.",dragon brave seen happi teach like bigger skull,"['khal_drogo', 'vermithrax', 'usurper', 'valyria', 'iron throne', 'usurper', 'asshai', 'keep red', 'iron throne', 'ghiscar', 'the dread balerion', 'kingdoms seven', 'valyria', 'iron throne', 'usurper', 'asshai', 'red keep', 'iron throne', 'ghiscar', 'balerion the dread', 'seven kingdoms', 'valyria', 'iron throne', 'usurper', 'asshai', 'red keep', 'iron throne', 'ghiscar', 'balerion the dread', 'seven kingdoms']",0,1E04S7,8,[5]
90,1,4,90,988.08,1087.12,"sansa_stark,septa_mordane","septa_mordane,sansa_stark","Sansa Stark's Journey-Wedding between Joffrey Baratheon and Sansa Stark, Joffrey Baratheon's Journey",Sansa and Joffrey-Wedding between Joffrey Baratheon and Sansa Stark,"Someday your husband will sit there and you will sit by his side. And one day, before too long, you will present your son to the court. All the lords of Westeros will gather here to see the little prince... What if I have a girl? Gods be good, you will have boys and girls and plenty of them. What if I only have girls? I would not worry about that. Jeyne Poole mother had five children, all of them girls. Yes, but it highly unlikely. But what if? If you only had girls, I suppose the throne would pass to Prince Joffrey little brother. And everyone would hate me. Nobody could ever hate you. Joffrey does. Nonsense. Why would you say such a thing? That business with the wolves? I have told you a hundred times... A direwolf is not... Please shut up about it. Do you remember your lessons? Who built the Iron Throne? Aegon the Conqueror. And who built the Red Keep? Maegor the Cruel. And how many years did it take to build... My grandfather and uncle were murdered here, were not they? They were killed on the orders of King Aerys, yes. The Mad King. Commonly known as the Mad King. Why were they killed? You should speak to your father about these matters. I do not want to speak to my father, ever. You will find it in your heart to forgive your father. No, I will not.",girl prince sit would hate built speak mad,"['joffrey_baratheon', 'roose_bolton', 'aerys_targaryen', 'westeros', 'conqueror aegon iron throne the', 'red maegor cruel the keep', 'mad king', 'westeros', 'iron throne aegon the conqueror', 'red keep maegor the cruel', 'mad king', 'westeros', 'iron throne aegon the conqueror', 'red keep maegor the cruel', 'mad king']",0,1E03S6,9,[1]
91,1,4,91,1087.12,1162.36,"lord_varys,janos_slynt,renly_baratheon,petyr_baelish,eddard_stark","renly_baratheon,grand_maester_pycelle,janos_slynt,petyr_baelish,eddard_stark,lord_varys","Robert Barathaon as a King-Robert's illegitimate children, Ned Stark as King's Hand",Ned Stark as King's Hand- Tournment for Ned,"It the Hand tournament that causing all this trouble, my Lords. The King tournament. I assure you the Hand wants no part of it. Call it what you will, Lord Stark Ser, the city is packed with people and more flooding in every day. Last night we had a tavern riot, a brothel fire, three stabbings and a drunken horse race down the Street of Sisters. Dreadful. If you ca not keep the King peace, perhaps the City Watch should be commanded by someone who can. I need more men. You will get 50. Lord Baelish will see it paid for. I will? You found money for a champion purse, you can find money to keep the peace. I will also give you 20 of my household guards till the crowds have left. Thank you, my Lord Hand Ser. They will be put to good use. The sooner this is over, the better. The realm prospers from such events, my Lord. They give the great a chance at glory, and the lowly a respite from their woes. And every inn in the city is full and the whores are walking bow-legged. I am sure the tourney puts coins in many a pocket. Now... If there nothing else, my Lords? This heat.",lord respite riot peace tournament citi hand money,"['baelish', 'watch city', 'city watch', 'city watch']",0,1E03S3,10,[13]
92,1,4,92,1162.36,1225.72,"grand_maester_pycelle,eddard_stark","eddard_stark,grand_maester_pycelle","Robert Barathaon as a King-Robert's illegitimate children, Ned Stark as King's Hand",Ned Stark as King's Hand-Robert's illegitimate children,"On days like this, I envy you northerners your summer snows. Until tomorrow my Lord. I have been hoping to talk to you about Jon Arryn. Lord Arryn? His death was a great sadness to all of us. I took personal charge of his care, but I could not save him. His sickness struck him very hard and very fast. I saw him in my chambers just the night before he passed. Lord Jon often came to me for counsel. Why? I have been Grand Maester for many years. Kings and Hands have come to me for advice since... What did Jon want the night before he died? He came inquiring after a book. A book? What book? I fear it would be of little interest to you, my Lord. A ponderous tome. I would like to read it.",lord maester came jon tomorrow book arryn sad summer,"['jon_snow', 'arya_stark', 'maester grand', 'grand maester', 'grand maester']",0,1E04S10,11,[10]
93,1,4,93,1225.72,1364.6,"grand_maester_pycelle,eddard_stark","eddard_stark,grand_maester_pycelle","Robert Barathaon as a King-Robert's illegitimate children, Ned Stark as King's Hand",Ned Stark as King's Hand-Robert's illegitimate children-Death of Jon Arryn,""" The lineages and histories of the great houses of the Seven Kingdoms, with descriptions of many high lords and noble ladies and their children. "" "" Harkon Umber, first of his name, born to lord Hother Umber and lady Amaryllis Umber in the 183rd year after Aegon landing, at the last hearth. Blue of eye, brown of hair and fair complected, died in his 14th year of a wound sustained As I said, my Lord, a ponderous read. Did Jon Arryn tell you what he wanted with it? He did not, my Lord. And I did not presume to ask. Jon death... Such a tragedy. Did he say anything to you during his final hours? Nothing of import, my Lord. There was one phrase he kept repeating "" The seed is strong, "" I think it was. "" The seed is strong ""? What does that mean? The dying mind is a demented mind, Lord Stark. For all the weight they are given, last words are usually as significant as first words. And you are quite certain he died of a natural illness? What else could it be? Poison. A disturbing thought. I do not think it likely. The Hand was loved by all. What sort of man would dare... I have heard it said that poison is a woman weapon. Yes. Women, cravens... and eunuchs. Did you know that lord Varys is a eunuch? Everybody knows that. Yes, yes, of course. How that sort of person found himself on the King Council, I will never know. I have taken enough of your time. No trouble at all, my Lord. It a great honor... Thank you. I will find my own way out.",lord sort eunuch umber die poison strong yes seed,"['house_stark', 'lothar_frey', 'arya_stark', 'harkon', 'amaryllis', 'arya_stark', 'jon_snow', 'grand_maester_pycelle', 'kingdoms seven', 'aegon', 'king council', 'seven kingdoms', 'aegon', 'king council', 'seven kingdoms', 'aegon', 'king council']",0,1E04S11,12,[15]
